crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,irrigatedarea_capped,annual_rainfall_mm,monsoon_rainfall_mm
Sugarcane,19.85,3.5899999,19.82,1,2017,14,Chhattisgarh,91447,53486,16993,durg,19.82,861.62999818,805.98
Sugarcane,0.72000003,0.11,0.616,2,2017,14,Chhattisgarh,21279,12584,4271,bastar,0.616,902.189989898,781.24999
Sugarcane,0.27000001,0.050000001,0.26699999,3,2017,14,Chhattisgarh,92008,47721,15054,raipur,0.26699999,683.98998807,621.32999
Sugarcane,7.5700002,0.82999998,7.4840002,4,2017,14,Chhattisgarh,72926,29713,6915,bilaspur,7.4840002,1857.7300270978,1539.510022
Sugarcane,0.43000001,0.090000004,0.43099999,5,2017,14,Chhattisgarh,31282,13620,3707,raigarh,0.43000001,624.520000099,563.34
Sugarcane,6.0,1.75,5.9959998,6,2017,14,Chhattisgarh,21139,11878,4438,surguja,5.9959998,580.88998821,516.769989
Sugarcane,3.3699999,1.79,3.49,7,2017,6,Madhya Pradesh,62230,30800,2116,jabalpur,3.3699999,826.8100011898,775.4
Sugarcane,3.7,1.91,2.3599999,8,2017,6,Madhya Pradesh,18299,10688,575,balaghat,2.3599999,962.1599880897999,899.95999
Sugarcane,11.0,4.4000001,7.1399999,9,2017,6,Madhya Pradesh,57518,20108,6518,chhindwara,7.1399999,953.0307088419801,882.4997900000001
Sugarcane,51.099998,30.07,58.68,10,2017,6,Madhya Pradesh,21631,10429,2037,narsinghpur,51.099998,817.6700003,771.73
Sugarcane,2.8099999,1.01,2.8099999,12,2017,6,Madhya Pradesh,11207,4172,136,mandla,2.8099999,918.34000899,864.13001
Sugarcane,0.49000001,0.23,0.28999999,13,2017,6,Madhya Pradesh,20399,17510,506,sagar,0.28999999,876.2600098,832.8900100000001
Sugarcane,0.60000002,0.15000001,0.039999999,14,2017,6,Madhya Pradesh,10634,9534,115,damoh,0.039999999,742.7499919998,711.789992
Sugarcane,0.12,0.029999999,0.090000004,16,2017,6,Madhya Pradesh,14565,11159,140,chhatarpur,0.090000004,656.1299883,641.629988
Sugarcane,0.07,0.0099999998,0.18000001,26,2017,6,Madhya Pradesh,49982,18447,680,morena,0.07,506.7599998,459.31
Sugarcane,0.02,0.0099999998,0.02,30,2017,6,Madhya Pradesh,42030,30956,5569,ujjain,0.02,802.64999,795.3299900000001
Sugarcane,0.1,0.029999999,0.20999999,32,2017,6,Madhya Pradesh,27680,15628,3499,dewas,0.1,652.680010188,646.65001
Sugarcane,0.20999999,0.13,2.53,33,2017,6,Madhya Pradesh,66096,32417,7376,dhar,0.20999999,763.659999699,744.47
